transaction_id,timestamp,amount,merchant_category,transaction_type,hour_of_day,day_of_week,is_international,customer_age,account_age_days,distance_from_home,city,country,num_transactions_last_hour,avg_amount_last_24h,is_fraud
TXN-000028,2026-01-30 16:48:19,139.27,grocery,purchase,16,4,1,30,699,353.7,Seoul,South Korea,0,75.5,0
TXN-000029,2026-01-19 14:15:52,119.97,restaurant,purchase,14,0,1,36,3141,228.0,Berlin,Germany,0,120.5,0
TXN-000030,2026-02-27 06:13:30,95.13,grocery,payment,6,4,1,63,751,302.5,Paris,France,2,132.45,0
TXN-000031,2026-01-29 04:37:18,134.75,utilities,payment,4,3,1,34,1520,210.0,Seoul,South Korea,1,45.28,0
TXN-000032,2026-02-23 06:26:09,500.07,online_shopping,transfer,6,0,1,33,1244,18.8,Sydney,Australia,4,108.87,0
TXN-000033,2026-01-06 11:44:31,83.84,grocery,payment,11,1,1,32,2221,43.8,Lagos,Nigeria,1,55.29,0
TXN-000034,2026-02-18 13:14:30,32.63,restaurant,refund,13,2,1,58,3019,75.3,Sydney,Australia,0,20.34,0
TXN-000035,2026-01-08 17:27:27,2121.35,gambling,refund,17,3,0,31,869,79.5,New York,USA,2,356.44,0
TXN-000036,2026-01-06 17:50:04,396.43,utilities,withdrawal,17,1,1,19,2872,4.0,Lagos,Nigeria,3,9.84,0
TXN-000037,2026-01-27 16:12:32,91.08,grocery,purchase,16,1,1,56,1634,854.2,Lagos,Nigeria,4,369.27,0
TXN-000038,2026-02-15 00:50:44,1464.46,healthcare,purchase,0,6,1,18,881,18.1,Mexico City,Mexico,4,428.7,0
TXN-000039,2026-02-26 16:47:46,512.32,healthcare,transfer,16,3,1,62,2967,144.1,São Paulo,Brazil,4,108.42,0
TXN-000040,2026-02-26 05:32:23,159.95,utilities,refund,5,3,1,34,3178,92.2,Mumbai,India,2,62.06,0
TXN-000041,2026-02-12 10:47:10,145.92,online_shopping,withdrawal,10,3,1,31,1907,29.8,Sydney,Australia,3,244.66,0
TXN-000042,2026-02-27 18:18:20,41.14,grocery,purchase,18,4,1,30,2582,66.0,Dubai,UAE,1,16.14,0
TXN-000043,2026-02-16 21:46:55,965.16,electronics,purchase,21,0,1,21,2398,35.2,Mumbai,India,2,25.15,0
TXN-000044,2026-01-24 01:44:25,1251.72,healthcare,purchase,1,5,1,46,2798,89.0,London,UK,1,25.63,1
TXN-000045,2026-02-26 16:38:21,392.72,online_shopping,purchase,16,3,1,18,3546,233.5,Moscow,Russia,1,6.61,0
TXN-000046,2026-02-03 14:07:39,46.68,restaurant,payment,14,1,1,23,2473,42.0,London,UK,3,29.46,0
TXN-000047,2026-01-30 10:29:30,192.24,utilities,purchase,10,4,1,20,2871,254.8,Mexico City,Mexico,1,63.13,0
TXN-000048,2026-02-26 01:14:10,1243.38,electronics,refund,1,3,1,18,3372,83.1,Mumbai,India,1,70.79,0
TXN-000049,2026-02-06 10:35:12,2132.11,online_shopping,purchase,10,4,1,25,2027,690.2,Moscow,Russia,2,7.81,0
TXN-000050,2026-01-17 08:10:14,1927.25,wire_transfer,payment,8,5,1,18,1119,78.8,Paris,France,3,65.6,0
TXN-000051,2026-01-29 07:10:40,1120.3,electronics,purchase,7,3,1,42,1253,150.7,Toronto,Canada,3,35.84,0
TXN-000052,2026-02-09 13:31:50,2353.95,online_shopping,purchase,13,0,0,47,575,74.5,New York,USA,1,69.55,0
TXN-000053,2026-01-03 06:50:07,111.61,grocery,payment,6,5,1,18,2602,127.7,Berlin,Germany,4,528.84,0
TXN-000054,2026-01-02 09:04:58,86.0,grocery,payment,9,4,1,32,1933,138.9,Sydney,Australia,2,224.58,0
TXN-000055,2026-02-20 18:35:35,15.36,restaurant,purchase,18,4,1,31,794,50.9,Mexico City,Mexico,2,243.73,0
TXN-000056,2026-02-02 14:39:59,119.25,entertainment,refund,14,0,1,25,3056,158.1,Sydney,Australia,2,39.28,0
TXN-000057,2026-02-05 21:22:56,33.64,utilities,withdrawal,21,3,1,31,3073,204.5,Dubai,UAE,2,252.03,0
TXN-000058,2026-02-21 10:37:01,71.43,online_shopping,purchase,10,5,1,18,2395,365.8,Paris,France,2,26.62,0
TXN-000059,2026-02-19 20:48:06,2867.35,cryptocurrency,purchase,20,3,1,50,849,30.6,Seoul,South Korea,1,46.31,0
TXN-000060,2026-02-20 23:18:31,335.77,online_shopping,withdrawal,23,4,1,69,1501,52.2,London,UK,3,268.2,0
TXN-000061,2026-01-08 22:38:02,143.6,restaurant,payment,22,3,1,37,800,25.5,Berlin,Germany,2,61.87,0
TXN-000062,2026-01-24 22:58:07,310.35,atm_withdrawal,withdrawal,22,5,1,39,2627,15.7,Sydney,Australia,3,283.27,0
TXN-000063,2026-01-31 22:47:17,2142.24,travel,transfer,22,5,1,23,2055,334.8,London,UK,2,130.32,0
TXN-000064,2026-01-23 22:11:19,182.17,restaurant,payment,22,4,1,20,1758,444.8,Tokyo,Japan,1,52.58,0
TXN-000065,2026-02-01 16:49:50,20.76,restaurant,withdrawal,16,6,1,53,3281,155.4,São Paulo,Brazil,1,114.81,0
TXN-000066,2026-02-03 22:36:10,1256.9,online_shopping,purchase,22,1,0,39,2090,77.9,New York,USA,2,35.72,0
TXN-000067,2026-01-27 07:33:11,92.51,entertainment,purchase,7,1,1,28,1773,221.0,Paris,France,3,122.31,0
TXN-000068,2026-02-20 20:10:39,48.88,restaurant,withdrawal,20,4,1,49,187,75.8,London,UK,1,9.44,0
TXN-000069,2026-01-19 02:51:42,3584.72,cryptocurrency,purchase,2,0,1,36,3006,11.7,Dubai,UAE,3,543.74,0
TXN-000070,2026-01-03 17:36:43,137.37,grocery,purchase,17,5,1,22,2914,373.9,Toronto,Canada,1,14.59,0
TXN-000071,2026-01-24 18:07:30,1035.06,healthcare,transfer,18,5,1,34,2709,100.8,London,UK,3,55.22,0
TXN-000072,2026-01-07 16:22:25,113.48,entertainment,purchase,16,2,1,49,335,531.4,Sydney,Australia,4,13.39,0
TXN-000073,2026-02-03 02:36:42,101.76,gas_station,purchase,2,1,1,45,2984,234.6,Mumbai,India,3,75.02,0
TXN-000074,2026-02-24 02:41:33,1725.88,gambling,purchase,2,1,1,47,1915,13.9,Shanghai,China,0,733.41,0
TXN-000075,2026-02-26 09:29:24,498.56,online_shopping,transfer,9,3,1,28,3431,50.8,Sydney,Australia,1,47.72,0
TXN-000076,2026-01-01 20:45:14,30.78,grocery,refund,20,3,1,18,3416,231.5,Lagos,Nigeria,0,146.1,0
TXN-000077,2026-01-11 12:33:24,51.34,grocery,purchase,12,6,1,35,2612,107.8,Tokyo,Japan,1,99.22,0
TXN-000078,2026-02-18 02:55:05,784.36,atm_withdrawal,refund,2,2,1,45,727,111.7,Moscow,Russia,1,64.69,0
TXN-000079,2026-02-04 05:12:55,278.62,online_shopping,withdrawal,5,2,1,37,893,74.4,Dubai,UAE,1,64.37,0
TXN-000080,2026-02-03 11:41:08,62.27,grocery,purchase,11,1,1,45,1419,0.8,Mexico City,Mexico,1,94.73,0
TXN-000081,2026-01-28 04:12:16,1166.63,online_shopping,withdrawal,4,2,1,38,1138,162.8,Sydney,Australia,5,76.95,1
TXN-000082,2026-02-17 08:12:42,547.07,electronics,payment,8,1,1,42,700,94.0,Moscow,Russia,1,31.76,0
TXN-000083,2026-01-18 03:01:13,889.24,online_shopping,purchase,3,6,0,46,589,123.1,New York,USA,0,12.31,0
TXN-000084,2026-01-24 12:34:47,30.2,gas_station,payment,12,5,1,41,586,150.2,Paris,France,1,65.08,0
TXN-000085,2026-01-27 16:11:21,358.47,online_shopping,purchase,16,1,1,43,2449,693.0,London,UK,3,62.04,0
TXN-000086,2026-01-29 10:32:05,75.04,entertainment,purchase,10,3,1,53,2507,94.8,Shanghai,China,1,59.68,0
TXN-000087,2026-01-11 19:31:01,88.44,entertainment,transfer,19,6,1,54,1711,360.4,Lagos,Nigeria,4,17.34,0
TXN-000088,2026-02-07 14:33:34,427.24,online_shopping,withdrawal,14,5,1,39,3596,517.2,Toronto,Canada,2,96.52,0
TXN-000089,2026-01-03 11:52:23,826.24,travel,payment,11,5,0,44,378,140.2,New York,USA,2,51.95,0
TXN-000090,2026-01-22 21:52:52,1985.58,online_shopping,purchase,21,3,1,18,1088,171.1,London,UK,5,70.67,0
TXN-000091,2026-02-10 16:11:56,205.29,grocery,withdrawal,16,1,1,44,3118,224.3,Moscow,Russia,1,131.28,0
TXN-000092,2026-02-10 12:29:32,152.11,grocery,withdrawal,12,1,1,31,3175,177.2,Shanghai,China,1,77.63,0
TXN-000093,2026-02-28 05:08:05,116.84,grocery,withdrawal,5,5,1,39,3145,147.2,London,UK,4,80.92,0
TXN-000094,2026-01-22 02:40:59,578.89,online_shopping,transfer,2,3,1,32,3062,308.1,Dubai,UAE,2,92.1,0
TXN-000095,2026-02-20 11:17:05,73.34,entertainment,purchase,11,4,1,29,2962,33.4,Paris,France,1,1204.78,0
TXN-000096,2026-02-02 06:11:48,173.04,utilities,transfer,6,0,1,43,957,69.6,Paris,France,1,68.34,0
TXN-000097,2026-02-22 01:35:01,536.77,atm_withdrawal,purchase,1,6,1,52,2383,66.7,São Paulo,Brazil,3,11.29,0
TXN-000098,2026-02-05 15:29:22,2336.14,electronics,payment,15,3,1,18,2,86.2,Seoul,South Korea,0,273.16,0
TXN-000099,2026-01-20 01:38:05,70.39,gas_station,refund,1,1,1,18,3217,133.2,Mexico City,Mexico,2,15.71,0
TXN-000100,2026-01-10 02:53:13,44.2,clothing,purchase,2,5,1,29,2892,133.0,Mumbai,India,2,222.41,0
TXN-000101,2026-01-12 04:48:48,140.18,clothing,withdrawal,4,0,1,18,1656,5.2,Seoul,South Korea,1,79.82,0
TXN-000102,2026-01-26 00:54:34,67.73,grocery,withdrawal,0,0,1,48,2885,24.1,Paris,France,2,62.76,0
TXN-000103,2026-01-31 23:46:42,31.93,restaurant,withdrawal,23,5,1,44,3250,14.8,Lagos,Nigeria,3,90.51,0
TXN-000104,2026-02-24 22:25:42,704.58,clothing,payment,22,1,0,37,3217,4.6,New York,USA,3,18.36,0
TXN-000105,2026-01-26 01:49:05,2091.27,gambling,purchase,1,0,1,60,575,51.1,Seoul,South Korea,0,83.26,0
TXN-000106,2026-02-07 13:03:37,157.28,clothing,purchase,13,5,1,50,2445,70.7,Toronto,Canada,2,208.12,0
TXN-000107,2026-01-19 00:48:31,17.41,gas_station,purchase,0,0,1,60,3569,144.9,Shanghai,China,3,74.6,0
TXN-000108,2026-02-22 11:04:33,1916.13,travel,payment,11,6,1,18,1764,206.1,São Paulo,Brazil,3,62.13,0
TXN-000109,2026-01-04 20:12:21,38.96,grocery,withdrawal,20,6,1,43,787,398.0,Toronto,Canada,2,20.4,0
TXN-000110,2026-01-02 16:12:03,259.31,entertainment,purchase,16,4,1,39,1287,30.6,Seoul,South Korea,2,47.28,0
TXN-000111,2026-02-23 00:43:55,3954.82,travel,refund,0,0,1,49,1709,135.0,São Paulo,Brazil,2,80.16,0
TXN-000112,2026-02-11 07:23:15,69.35,restaurant,payment,7,2,1,18,1604,166.9,Paris,France,2,17.42,0
TXN-000113,2026-02-13 01:32:54,168.89,grocery,purchase,1,4,1,34,2709,39.6,Toronto,Canada,2,276.83,0
TXN-000114,2026-02-04 06:20:17,263.81,healthcare,purchase,6,2,1,18,3239,20.6,Sydney,Australia,0,96.45,0
TXN-000115,2026-02-15 03:39:36,183.45,online_shopping,purchase,3,6,1,60,353,10.8,Berlin,Germany,1,16.08,0
TXN-000116,2026-01-27 20:07:37,922.73,online_shopping,purchase,20,1,1,61,2429,770.9,London,UK,3,60.13,0
TXN-000117,2026-01-13 14:56:54,7.8,gas_station,purchase,14,1,1,28,208,76.5,Berlin,Germany,3,33.14,0
TXN-000118,2026-01-21 19:05:21,1369.23,travel,withdrawal,19,2,1,40,1185,185.0,Mumbai,India,0,18.72,0
TXN-000119,2026-01-21 01:26:56,574.37,online_shopping,payment,1,2,1,25,3017,108.8,London,UK,4,49.59,0
TXN-000120,2026-02-11 05:17:44,821.56,healthcare,purchase,5,2,1,50,1694,54.5,Berlin,Germany,0,16.64,0
TXN-000121,2026-01-18 13:19:17,973.24,clothing,purchase,13,6,1,33,266,265.2,São Paulo,Brazil,4,40.44,0
TXN-000122,2026-01-04 14:03:44,55.39,restaurant,withdrawal,14,6,1,45,92,48.8,London,UK,1,57.34,0
TXN-000123,2026-01-31 18:04:18,338.11,online_shopping,purchase,18,5,1,34,1954,229.0,Dubai,UAE,1,36.2,0
TXN-000124,2026-02-02 03:03:38,31.7,restaurant,transfer,3,0,1,27,1404,282.6,Paris,France,4,7.81,0
TXN-000125,2026-01-22 04:54:01,917.92,online_shopping,purchase,4,3,1,75,1598,31.6,Moscow,Russia,3,24.62,0
TXN-000126,2026-02-06 12:31:35,294.23,online_shopping,payment,12,4,1,18,2443,24.2,Berlin,Germany,0,36.98,0
TXN-000127,2026-02-04 08:28:51,314.06,online_shopping,payment,8,2,0,45,1949,248.2,New York,USA,0,154.46,0
TXN-000128,2026-02-19 07:20:27,3977.94,travel,transfer,7,3,1,57,2774,89.8,Paris,France,1,52.98,1
TXN-000129,2026-01-08 22:42:00,27.91,grocery,purchase,22,3,1,41,3507,529.8,Toronto,Canada,3,20.66,0
TXN-000130,2026-02-23 07:09:37,29.46,restaurant,payment,7,0,1,38,3409,559.4,Dubai,UAE,1,23.07,1
TXN-000131,2026-01-25 22:49:09,69.85,grocery,withdrawal,22,6,1,25,2197,110.3,Mexico City,Mexico,1,19.78,0
TXN-000132,2026-01-17 07:17:54,23.19,gas_station,transfer,7,5,1,34,846,48.0,São Paulo,Brazil,3,115.14,0
TXN-000133,2026-02-16 17:20:12,934.45,online_shopping,payment,17,0,1,32,3070,8.3,Paris,France,2,113.8,0
TXN-000134,2026-01-13 17:01:28,1029.26,electronics,withdrawal,17,1,1,29,3634,62.9,Sydney,Australia,4,148.7,0
TXN-000135,2026-01-08 09:57:15,553.1,healthcare,payment,9,3,1,40,2177,160.7,Moscow,Russia,3,29.35,0
TXN-000136,2026-02-17 12:08:51,75.96,grocery,transfer,12,1,1,54,314,207.7,Shanghai,China,5,40.95,0
TXN-000137,2026-01-10 23:53:34,13.75,gas_station,purchase,23,5,1,24,3226,73.6,Dubai,UAE,3,192.98,0
TXN-000138,2026-02-27 22:51:03,1066.16,travel,purchase,22,4,1,37,594,103.4,Tokyo,Japan,0,46.05,0
TXN-000139,2026-02-07 20:30:35,24.22,gas_station,purchase,20,5,1,31,2067,69.6,London,UK,0,8.44,0
TXN-000140,2026-02-16 10:56:59,1164.95,travel,payment,10,0,1,25,198,173.7,Toronto,Canada,4,77.96,0
TXN-000141,2026-02-12 16:29:53,77.48,entertainment,refund,16,3,1,38,2029,276.7,Lagos,Nigeria,2,92.64,0
TXN-000142,2026-01-06 03:38:38,64.03,grocery,purchase,3,1,1,18,3385,141.3,Shanghai,China,1,77.75,0
TXN-000143,2026-02-13 09:29:21,25.23,restaurant,purchase,9,4,1,39,1244,224.9,Dubai,UAE,0,7.87,0
TXN-000144,2026-02-25 10:19:17,133.07,grocery,purchase,10,2,1,18,3591,119.2,Sydney,Australia,0,42.17,0
TXN-000145,2026-02-25 13:56:36,929.04,gambling,purchase,13,2,0,50,2362,93.5,New York,USA,3,100.57,0
TXN-000146,2026-01-04 09:56:06,273.78,grocery,payment,9,6,1,44,1688,117.3,Moscow,Russia,3,43.09,0
TXN-000147,2026-01-22 15:56:01,773.82,online_shopping,purchase,15,3,1,54,2890,231.9,Sydney,Australia,0,427.3,0
TXN-000148,2026-02-04 18:48:31,704.22,healthcare,payment,18,2,1,28,2431,34.4,Mexico City,Mexico,4,132.04,0
TXN-000149,2026-02-21 02:05:38,458.95,online_shopping,purchase,2,5,1,36,3508,34.2,Toronto,Canada,2,22.71,0
TXN-000150,2026-01-21 07:54:08,438.63,online_shopping,purchase,7,2,1,48,1128,236.4,São Paulo,Brazil,3,31.61,0
TXN-000151,2026-03-01 15:42:36,94.98,clothing,refund,15,6,0,30,2308,81.1,New York,USA,3,171.12,0
TXN-000152,2026-01-31 22:26:04,2083.16,atm_withdrawal,purchase,22,5,1,54,1940,544.4,Lagos,Nigeria,1,72.0,0
TXN-000153,2026-01-24 01:21:02,96.06,restaurant,purchase,1,5,1,48,588,190.5,Shanghai,China,3,94.32,0
TXN-000154,2026-01-23 15:21:16,168.95,grocery,transfer,15,4,1,36,931,59.0,London,UK,1,72.48,0
TXN-000155,2026-01-08 22:22:02,72.56,utilities,purchase,22,3,1,34,2564,54.3,Dubai,UAE,6,45.05,0
TXN-000156,2026-02-28 22:58:26,40.48,utilities,withdrawal,22,5,1,18,142,79.8,Tokyo,Japan,2,36.39,0
TXN-000157,2026-01-22 15:56:18,349.84,clothing,transfer,15,3,1,37,2995,265.3,Paris,France,2,427.03,0
TXN-000158,2026-02-05 07:16:29,35.54,restaurant,withdrawal,7,3,1,39,2868,38.5,Tokyo,Japan,2,16.48,0
TXN-000159,2026-02-24 15:28:48,42.88,grocery,withdrawal,15,1,1,20,2480,37.3,Mumbai,India,3,56.6,0
TXN-000160,2026-02-03 23:31:00,314.82,atm_withdrawal,purchase,23,1,1,22,659,443.8,Sydney,Australia,4,112.99,0
TXN-000161,2026-02-13 01:23:33,651.02,healthcare,withdrawal,1,4,1,28,2395,0.4,Dubai,UAE,0,66.33,0
TXN-000162,2026-01-27 07:18:59,171.51,online_shopping,purchase,7,1,1,18,1645,89.0,Tokyo,Japan,3,33.62,0
TXN-000163,2026-02-22 16:41:42,96.68,restaurant,payment,16,6,1,48,2430,63.5,Lagos,Nigeria,5,30.71,0
TXN-000164,2026-01-01 07:43:18,46.97,restaurant,transfer,7,3,0,49,2037,260.4,New York,USA,2,33.68,0
TXN-000165,2026-01-23 16:46:19,80.49,restaurant,transfer,16,4,1,40,2898,19.3,Lagos,Nigeria,2,161.68,0
TXN-000166,2026-01-15 08:38:01,764.26,atm_withdrawal,withdrawal,8,3,1,55,2498,151.6,Shanghai,China,4,17.4,0
TXN-000167,2026-01-12 02:42:00,561.06,online_shopping,purchase,2,0,1,39,3383,94.3,Mexico City,Mexico,1,19.54,0
TXN-000168,2026-02-12 17:35:34,98.66,clothing,purchase,17,3,1,39,2022,72.7,London,UK,3,41.58,0
TXN-000169,2026-01-24 06:33:55,1993.69,travel,purchase,6,5,1,36,2981,152.0,London,UK,1,6.58,0
TXN-000170,2026-02-18 16:37:04,1805.15,gambling,withdrawal,16,2,1,55,1464,27.5,Mumbai,India,3,9.33,0
TXN-000171,2026-01-15 20:29:41,124.32,clothing,purchase,20,3,1,18,2533,138.6,São Paulo,Brazil,4,5.55,0
TXN-000172,2026-02-17 21:03:04,372.05,electronics,purchase,21,1,1,40,2722,87.1,Berlin,Germany,1,15.46,0
TXN-000173,2026-02-08 03:50:00,629.56,online_shopping,refund,3,6,1,25,1628,77.1,Mumbai,India,5,38.17,0
TXN-000174,2026-01-28 04:16:36,593.82,online_shopping,withdrawal,4,2,1,18,2112,114.3,São Paulo,Brazil,1,38.02,0
TXN-000175,2026-01-20 08:45:57,2654.38,cryptocurrency,refund,8,1,1,41,3596,298.8,Mumbai,India,2,56.2,0
TXN-000176,2026-01-24 22:14:26,900.0,utilities,refund,22,5,1,18,3537,87.9,London,UK,5,19.62,0
TXN-000177,2026-01-03 04:12:46,4076.75,electronics,transfer,4,5,1,26,3566,66.6,Lagos,Nigeria,2,86.49,0
TXN-000178,2026-02-16 02:18:49,102.64,grocery,purchase,2,0,1,51,3399,269.5,Mumbai,India,1,121.56,0
TXN-000179,2026-01-01 03:34:01,63.94,grocery,withdrawal,3,3,1,48,2751,3.7,Shanghai,China,2,25.92,0
TXN-000180,2026-02-01 01:44:18,83.21,grocery,payment,1,6,1,18,2984,184.2,Paris,France,0,46.46,0
TXN-000181,2026-03-01 01:38:02,119.32,restaurant,purchase,1,6,0,28,2952,153.4,New York,USA,4,72.23,0
TXN-000182,2026-01-23 09:09:35,572.66,online_shopping,withdrawal,9,4,1,28,160,259.3,Shanghai,China,3,26.08,0
TXN-000183,2026-01-14 01:17:55,547.42,healthcare,purchase,1,2,0,50,354,107.3,New York,USA,0,44.09,0
TXN-000184,2026-02-07 16:22:23,1834.79,wire_transfer,payment,16,5,1,49,1181,47.3,Toronto,Canada,4,43.54,0
TXN-000185,2026-02-06 16:57:22,692.98,online_shopping,refund,16,4,1,48,2266,27.4,Mexico City,Mexico,6,134.76,1
TXN-000186,2026-01-19 18:11:36,29.19,gas_station,payment,18,0,1,36,1328,91.8,Tokyo,Japan,1,32.85,0
TXN-000187,2026-01-18 04:12:35,1324.94,healthcare,purchase,4,6,1,35,2079,36.5,São Paulo,Brazil,2,102.47,1
TXN-000188,2026-01-07 03:17:02,39.64,entertainment,withdrawal,3,2,0,53,3221,331.4,New York,USA,1,9.55,0
TXN-000189,2026-02-15 12:36:37,95.0,clothing,transfer,12,6,1,39,1816,135.6,Paris,France,0,180.43,0
TXN-000190,2026-02-05 05:00:19,398.6,online_shopping,refund,5,3,1,18,2513,128.5,Toronto,Canada,0,11.89,0
TXN-000191,2026-01-07 20:24:32,1002.25,online_shopping,purchase,20,2,1,19,2103,317.1,Berlin,Germany,4,14.13,0
TXN-000192,2026-02-28 03:39:02,557.18,online_shopping,transfer,3,5,1,42,1250,167.0,Berlin,Germany,3,198.73,0
TXN-000193,2026-01-22 08:16:58,2084.71,electronics,purchase,8,3,1,56,1114,48.5,Seoul,South Korea,3,95.36,0
TXN-000194,2026-01-01 16:46:51,181.23,atm_withdrawal,transfer,16,3,1,55,1593,175.7,London,UK,2,49.37,0
TXN-000195,2026-02-03 14:31:57,2008.65,cryptocurrency,transfer,14,1,1,30,2325,6.7,Mexico City,Mexico,1,66.13,0
TXN-000196,2026-02-12 11:32:16,108.2,grocery,transfer,11,3,1,31,1606,789.4,Paris,France,3,413.36,0
TXN-000197,2026-02-23 17:25:05,449.47,clothing,transfer,17,0,1,18,1284,110.6,Toronto,Canada,2,20.19,0
TXN-000198,2026-02-01 03:46:29,11421.12,cryptocurrency,payment,3,6,1,57,187,103.6,Seoul,South Korea,0,15.64,1
TXN-000199,2026-01-02 22:07:47,99.01,restaurant,purchase,22,4,1,46,1627,18.9,Seoul,South Korea,1,43.91,0
TXN-000200,2026-02-20 00:31:24,180.72,grocery,purchase,0,4,1,28,980,452.2,Tokyo,Japan,3,7.61,0
TXN-000201,2026-02-19 00:57:25,2348.65,gambling,purchase,0,3,1,50,1901,5.5,Lagos,Nigeria,2,105.37,0
TXN-000202,2026-01-05 10:55:50,42.05,grocery,purchase,10,0,1,18,2451,439.1,Berlin,Germany,4,82.19,0
TXN-000203,2026-01-19 15:38:45,2730.92,travel,purchase,15,0,0,19,2972,79.0,New York,USA,4,37.89,0
TXN-000204,2026-01-03 01:56:48,4210.91,wire_transfer,purchase,1,5,1,18,279,217.6,Lagos,Nigeria,0,108.88,0
TXN-000205,2026-01-10 07:06:38,47.29,grocery,purchase,7,5,1,18,1958,163.2,Tokyo,Japan,3,20.79,0
TXN-000206,2026-01-25 15:26:50,754.27,gambling,purchase,15,6,1,31,3451,215.6,Sydney,Australia,1,15.03,0
TXN-000207,2026-02-01 01:08:16,23.57,grocery,purchase,1,6,1,18,3552,20.9,Dubai,UAE,3,120.65,0
TXN-000208,2026-01-24 01:39:14,251.81,grocery,purchase,1,5,1,33,3073,296.7,Seoul,South Korea,2,14.89,0
TXN-000209,2026-01-03 16:48:11,94.07,online_shopping,refund,16,5,1,20,1904,106.0,Mexico City,Mexico,2,50.66,0
TXN-000210,2026-02-04 07:13:57,1096.0,electronics,transfer,7,2,1,53,759,183.7,Tokyo,Japan,2,45.57,0
TXN-000211,2026-02-17 02:18:11,230.07,utilities,payment,2,1,1,18,891,307.7,London,UK,2,243.13,0
TXN-000212,2026-01-03 17:15:54,79.23,grocery,purchase,17,5,1,32,113,65.3,Lagos,Nigeria,3,31.95,0
TXN-000213,2026-01-05 01:29:46,1129.22,gambling,payment,1,0,1,18,452,81.3,Berlin,Germany,1,76.71,1
